Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,20_02_2022-02_44_37,-30.0,60,7.745966692414834,27.24375799793688,49.58079912397116,49.66666666666667,49.846153846153854,46.46153846153847,47.0,48.97435897435898,49.46153846153846,49.66666666666667,49.846153846153854,44.99999999999999,46.41025641025641
Parkinson Database,20_02_2022-02_45_19,-25.0,60,7.745966692414834,16.471635644421603,49.266546454862194,45.84615384615385,45.05128205128205,42.820512820512825,43.051282051282044,47.38461538461538,47.256410256410255,45.84615384615385,45.05128205128205,40.43589743589744,41.38461538461539
Parkinson Database,20_02_2022-02_46_05,-20.0,60,7.745966692414834,6.5081004625544825,48.70043166028995,45.05128205128205,44.666666666666664,37.51282051282051,39.38461538461539,45.20512820512821,45.692307692307686,45.05128205128205,44.666666666666664,35.97435897435898,38.05128205128205
Parkinson Database,20_02_2022-02_46_59,-15.0,60,7.745966692414834,1.2349456119959097,47.67706592393054,39.97435897435897,41.15384615384615,30.153846153846153,32.35897435897436,42.61538461538461,42.97435897435897,39.97435897435897,41.15384615384615,31.999999999999996,34.71794871794872
Parkinson Database,20_02_2022-02_47_56,-10.0,60,7.745966692414834,0.05751215546659843,45.880648709120386,32.53846153846154,34.692307692307686,23.2051282051282,26.538461538461533,38.358974358974365,39.23076923076923,32.53846153846154,34.692307692307686,25.30769230769231,29.41025641025641
Parkinson Database,20_02_2022-02_48_55,-5.0,60,7.745966692414834,7.931246678271024e-05,42.756803960789256,23.0,26.205128205128204,15.435897435897438,20.641025641025646,30.692307692307697,33.58974358974359,23.0,26.205128205128204,18.25641025641026,22.076923076923073
Parkinson Database,20_02_2022-02_50_05,0.0,60,7.745966692414834,4.857487332593644e-10,37.26861525112517,14.743589743589746,17.820512820512825,10.051282051282051,14.923076923076927,25.538461538461544,27.589743589743588,14.743589743589746,17.820512820512825,14.230769230769235,18.487179487179482
Parkinson Database,20_02_2022-02_51_14,5.0,60,7.745966692414834,0.0,29.054207479907813,8.102564102564102,14.025641025641022,7.333333333333336,13.769230769230766,17.692307692307697,21.512820512820507,8.102564102564102,14.025641025641022,11.717948717948723,17.794871794871792
Parkinson Database,20_02_2022-02_52_33,10.0,60,7.745966692414834,0.0,17.679797265043256,4.923076923076919,11.564102564102562,4.743589743589749,11.641025641025637,11.743589743589745,15.717948717948715,4.923076923076919,11.564102564102562,9.410256410256412,15.333333333333332
Parkinson Database,20_02_2022-02_53_48,15.0,60,7.745966692414834,0.0,7.163223277639043,3.0256410256410238,12.358974358974361,3.0000000000000027,12.282051282051288,6.999999999999995,14.179487179487182,3.0256410256410238,12.358974358974361,6.769230769230772,14.30769230769231
