Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Heart Diseases Database,27_12_2021-13_39_14,-25.0,15,150,37.03013345259621,49.84973608548728,48.86666666666667,48.8,47.333333333333336,47.266666666666666,47.266666666666666,47.199999999999996,45.4,46.266666666666666
Heart Diseases Database,27_12_2021-13_39_38,-20.0,15,150,17.216903003892508,49.74085576685312,47.66666666666667,46.333333333333336,46.599999999999994,47.0,46.599999999999994,47.13333333333334,43.53333333333333,44.46666666666667
Heart Diseases Database,27_12_2021-13_40_17,-15.0,15,150,1.7671034983465908,49.53503935815983,45.599999999999994,45.46666666666667,40.800000000000004,41.06666666666666,40.6,41.0,34.73333333333334,36.199999999999996
Heart Diseases Database,27_12_2021-13_41_01,-10.0,15,150,0.018683902671377886,49.18172475688193,40.46666666666666,42.00000000000001,36.6,40.93333333333333,36.46666666666667,41.2,26.66666666666667,33.8
Heart Diseases Database,27_12_2021-13_41_33,-5.0,15,150,0.0,48.50576411136467,33.199999999999996,36.6,27.133333333333333,31.200000000000006,26.93333333333333,31.133333333333336,19.066666666666666,25.8
Heart Diseases Database,27_12_2021-13_42_11,0.0,15,150,0.0,47.25841564845531,22.866666666666667,30.800000000000004,20.866666666666667,26.93333333333333,20.666666666666668,27.0,14.266666666666673,20.866666666666667
Heart Diseases Database,27_12_2021-13_43_24,5.0,15,150,0.0,45.343740059553966,14.400000000000002,23.93333333333333,12.26666666666667,22.066666666666666,11.13333333333333,21.46666666666667,9.933333333333339,18.799999999999994
Heart Diseases Database,27_12_2021-13_45_52,10.0,15,150,0.0,41.62225609509825,8.199999999999996,22.199999999999996,8.533333333333337,19.866666666666667,6.599999999999994,20.066666666666666,7.866666666666666,18.533333333333335
