Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Heart Diseases Database,28_12_2021-13_33_09,-25.0,15,150,49.64634274838642,49.65600183379278,50.0,49.53333333333333,48.133333333333326,49.26666666666667,48.199999999999996,49.33333333333333,48.06666666666667,49.46666666666667
Heart Diseases Database,28_12_2021-13_33_18,-20.0,15,150,49.38699998905812,49.39267590681393,46.199999999999996,47.0,47.06666666666667,45.86666666666667,47.06666666666667,45.86666666666667,45.46666666666667,45.333333333333336
Heart Diseases Database,28_12_2021-13_33_46,-15.0,15,150,48.890418504579884,48.890163894232465,49.66666666666667,49.133333333333326,47.0,48.6,47.0,48.6,46.0,47.333333333333336
Heart Diseases Database,28_12_2021-13_34_00,-10.0,15,150,48.05563731427183,48.07543295904561,48.93333333333333,48.266666666666666,46.733333333333334,45.8,46.53333333333334,46.0,44.8,45.06666666666666
Heart Diseases Database,28_12_2021-13_34_29,-5.0,15,150,46.62831810261206,46.676460403408704,46.666666666666664,47.93333333333333,44.266666666666666,45.93333333333334,44.599999999999994,46.0,40.93333333333333,43.13333333333333
Heart Diseases Database,28_12_2021-13_35_06,0.0,15,150,44.100959590133264,44.39196390937077,45.46666666666667,47.199999999999996,41.266666666666666,43.8,41.266666666666666,43.8,34.4,39.33333333333333
Heart Diseases Database,28_12_2021-13_35_51,5.0,15,150,39.30351834480665,40.158337301048654,38.06666666666667,40.46666666666666,34.4,37.866666666666674,34.599999999999994,38.2,26.400000000000002,31.466666666666665
Heart Diseases Database,28_12_2021-13_36_32,10.0,15,150,31.95064616666952,33.389661119016246,33.333333333333336,37.8,27.400000000000002,33.46666666666667,27.66666666666666,33.46666666666667,18.400000000000006,26.333333333333332
