Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Heart Diseases Database,28_12_2021-13_24_17,-25.0,15,1.5,46.53818494498116,49.652061314596644,50.13333333333334,50.73333333333334,48.6,51.6,48.6,51.6,48.4,51.0
Heart Diseases Database,28_12_2021-13_24_35,-20.0,15,1.5,44.034583952578636,49.429728282396596,47.93333333333333,49.2,47.0,46.8,47.06666666666667,46.86666666666667,46.199999999999996,46.8
Heart Diseases Database,28_12_2021-13_24_47,-15.0,15,1.5,39.23975178418755,48.918806866899125,49.46666666666667,49.2,47.73333333333334,48.266666666666666,47.86666666666667,48.266666666666666,46.0,46.8
Heart Diseases Database,28_12_2021-13_25_12,-10.0,15,1.5,31.562817141863658,48.102368777610394,49.86666666666667,49.33333333333333,46.13333333333334,45.333333333333336,46.13333333333334,45.333333333333336,43.60000000000001,43.46666666666666
Heart Diseases Database,28_12_2021-13_25_48,-5.0,15,1.5,19.886521508869183,46.66881178206791,45.733333333333334,49.2,45.333333333333336,48.53333333333333,45.4,48.6,40.06666666666666,44.46666666666667
Heart Diseases Database,28_12_2021-13_26_48,0.0,15,1.5,7.212313318462112,44.10282633450604,42.53333333333333,44.266666666666666,41.93333333333334,44.06666666666666,41.93333333333334,44.06666666666666,34.06666666666667,37.66666666666667
Heart Diseases Database,28_12_2021-13_27_39,5.0,15,1.5,1.0298760382717065,39.606195487069975,39.26666666666667,40.2,35.66666666666667,38.33333333333333,36.0,39.2,26.66666666666667,31.333333333333336
Heart Diseases Database,28_12_2021-13_28_39,10.0,15,1.5,0.2229300898490649,34.0464628338865,34.46666666666667,38.6,28.666666666666664,34.66666666666667,28.200000000000003,34.333333333333336,20.133333333333336,27.333333333333332
