Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Heart Diseases Database,28_12_2021-11_24_52,-25.0,15,150,24.743409096555816,26.267144521843683,27.0,34.13333333333334,26.93333333333333,34.333333333333336,25.4,34.0,25.4,34.4
Heart Diseases Database,28_12_2021-11_25_17,-20.0,15,150,22.663017916304845,24.227629024418626,21.999999999999996,31.999999999999996,23.93333333333333,31.000000000000007,22.933333333333326,31.599999999999994,22.599999999999998,31.266666666666666
Heart Diseases Database,28_12_2021-11_26_08,-15.0,15,150,22.886740722862566,26.16379489392562,25.86666666666667,35.6,26.0,34.53333333333334,25.33333333333333,34.8,24.6,34.199999999999996
Heart Diseases Database,28_12_2021-11_26_24,-10.0,15,150,21.920293840135265,24.044107912825297,24.33333333333333,32.733333333333334,24.26666666666667,31.866666666666667,24.06666666666667,31.666666666666664,24.533333333333328,31.999999999999996
Heart Diseases Database,28_12_2021-11_26_43,-5.0,15,150,23.658739230787756,26.112549278303344,26.06666666666667,34.13333333333334,26.333333333333332,34.4,26.06666666666667,34.53333333333334,24.73333333333333,33.199999999999996
Heart Diseases Database,28_12_2021-11_27_10,0.0,15,150,21.96867753350314,24.013722236602263,24.93333333333333,34.93333333333334,25.8,36.199999999999996,25.6,36.133333333333326,24.66666666666667,35.86666666666667
Heart Diseases Database,28_12_2021-11_27_28,5.0,15,150,22.624491832348347,26.066188357917646,25.26666666666667,35.266666666666666,25.33333333333333,34.93333333333334,25.13333333333333,34.73333333333334,25.4,35.0
Heart Diseases Database,28_12_2021-11_27_51,10.0,15,150,20.62629002318728,23.97810548560864,25.06666666666667,36.06666666666667,24.33333333333333,34.53333333333334,24.33333333333333,34.53333333333334,23.4,33.86666666666667
