Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Heart Diseases Database,28_12_2021-09_10_48,-25.0,15,1.5,28.379527460902814,48.4485695245321,49.133333333333326,50.4,46.333333333333336,50.13333333333334,46.333333333333336,50.13333333333334,43.99999999999999,47.8
Heart Diseases Database,28_12_2021-09_11_03,-20.0,15,1.5,16.620921214226215,47.36084874719168,44.733333333333334,47.333333333333336,43.333333333333336,44.733333333333334,43.2,44.333333333333336,39.46666666666667,41.666666666666664
Heart Diseases Database,28_12_2021-09_11_28,-15.0,15,1.5,5.447605388079353,45.275932272126866,44.86666666666667,45.666666666666664,42.2,44.199999999999996,42.00000000000001,44.13333333333333,35.13333333333334,38.733333333333334
Heart Diseases Database,28_12_2021-09_11_41,-10.0,15,1.5,0.48188199119308844,41.6840305181531,41.46666666666666,43.60000000000001,35.86666666666667,37.6,35.6,37.46666666666667,27.46666666666666,30.800000000000004
Heart Diseases Database,28_12_2021-09_12_24,-5.0,15,1.5,0.0014887830435347988,35.86117585962755,32.4,38.13333333333333,26.200000000000003,32.46666666666667,27.133333333333333,33.266666666666666,19.266666666666666,26.333333333333332
Heart Diseases Database,28_12_2021-09_13_56,0.0,15,1.5,1.8648651001207378e-08,27.089716015563813,22.53333333333334,29.866666666666664,18.000000000000004,25.06666666666667,17.533333333333335,24.46666666666667,13.86666666666667,20.53333333333334
Heart Diseases Database,28_12_2021-09_16_41,5.0,15,1.5,0.0,17.66721181743326,14.066666666666672,22.733333333333338,12.53333333333333,21.066666666666666,12.73333333333333,21.666666666666668,10.133333333333338,18.799999999999994
Heart Diseases Database,28_12_2021-09_21_08,10.0,15,1.5,0.0,11.275749479157602,9.733333333333338,22.53333333333334,9.466666666666669,21.999999999999996,9.333333333333337,21.46666666666667,8.199999999999996,18.866666666666664
