Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Wisconsin Breast Cancer Database,28_12_2021-13_54_15,-25.0,15,1,45.862459434907976,49.49052485612106,48.49122807017544,48.98245614035087,48.10526315789474,47.96491228070175,47.929824561403514,47.929824561403514,47.75438596491228,47.68421052631579
Wisconsin Breast Cancer Database,28_12_2021-13_55_26,-20.0,15,1,42.71212411252841,49.075029975970125,48.280701754385966,47.859649122807014,48.140350877192986,47.859649122807014,48.140350877192986,47.859649122807014,47.473684210526315,47.192982456140356
Wisconsin Breast Cancer Database,28_12_2021-13_56_30,-15.0,15,1,37.214721000416674,48.408009766615194,48.49122807017544,48.7719298245614,46.561403508771924,46.49122807017544,46.561403508771924,46.49122807017544,44.73684210526315,44.94736842105264
Wisconsin Breast Cancer Database,28_12_2021-13_57_20,-10.0,15,1,28.157240807032295,47.101529295318805,46.631578947368425,46.8421052631579,45.684210526315795,46.175438596491226,45.578947368421055,46.14035087719298,42.280701754385966,42.98245614035088
Wisconsin Breast Cancer Database,28_12_2021-13_59_35,-5.0,15,1,15.631946830386182,44.75868660510385,43.614035087719294,43.19298245614035,41.78947368421052,42.14035087719298,41.89473684210526,42.24561403508772,36.877192982456144,37.71929824561403
Wisconsin Breast Cancer Database,28_12_2021-15_23_16,0.0,15,1,4.4021975981947365,40.37231496431253,41.19298245614035,42.07017543859649,36.807017543859644,38.24561403508772,36.807017543859644,38.24561403508772,29.894736842105264,31.614035087719294
