Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Parkinson Database,28_12_2021-13_46_17,-25.0,15,1,46.12532024298665,49.67357258988494,49.43589743589744,49.94871794871795,49.743589743589745,49.641025641025635,49.743589743589745,49.641025641025635,47.897435897435905,47.794871794871796
Parkinson Database,28_12_2021-13_46_34,-20.0,15,1,42.82144749686924,49.386131049879516,48.51282051282051,50.153846153846146,50.05128205128205,50.46153846153847,50.05128205128205,50.46153846153847,47.48717948717949,47.897435897435905
Parkinson Database,28_12_2021-13_47_03,-15.0,15,1,37.671688247799594,48.91484723972159,47.07692307692307,49.743589743589745,49.846153846153854,50.66666666666666,49.94871794871795,50.76923076923077,47.07692307692307,48.71794871794872
Parkinson Database,28_12_2021-13_47_30,-10.0,15,1,29.03235432796507,48.05777698386729,47.692307692307686,48.51282051282051,46.15384615384615,47.794871794871796,46.35897435897436,47.38461538461538,42.56410256410257,45.02564102564103
Parkinson Database,28_12_2021-13_47_46,-5.0,15,1,20.558486302437817,46.803415892795954,47.282051282051285,46.56410256410256,45.948717948717956,46.46153846153847,45.43589743589743,45.74358974358974,38.66666666666667,40.820512820512825
Parkinson Database,28_12_2021-13_48_38,0.0,15,1,8.38060189879747,43.98170448932488,44.92307692307692,43.69230769230769,41.64102564102564,40.61538461538462,40.61538461538462,39.38461538461539,32.41025641025641,32.41025641025641
Parkinson Database,28_12_2021-13_50_44,5.0,15,1,3.4433023366024633,39.871842667764504,39.38461538461539,40.41025641025641,33.43589743589743,35.07692307692307,34.256410256410255,36.30769230769231,24.820512820512818,28.717948717948715
Parkinson Database,28_12_2021-13_53_47,10.0,15,1,0.6306684819448785,33.511984009922486,33.743589743589745,37.02564102564102,31.28205128205128,34.97435897435898,30.153846153846153,33.43589743589743,22.461538461538467,26.564102564102566
