Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,15_02_2022-13_54_56,-25.0,30,30.0,39.20918219208321,47.27174767605828,49.53846153846154,49.43589743589744,49.53846153846154,49.43589743589744,49.53846153846154,49.43589743589744,49.53846153846154,49.43589743589744,43.230769230769226,42.92307692307692
Parkinson Database,15_02_2022-13_55_03,-20.0,30,30.0,32.1855767424619,45.2138196747953,47.641025641025635,48.2051282051282,47.641025641025635,48.2051282051282,47.641025641025635,48.2051282051282,47.641025641025635,48.2051282051282,37.282051282051285,39.38461538461539
Parkinson Database,15_02_2022-13_55_09,-15.0,30,30.0,21.95411628355085,41.607230954694586,49.38461538461538,47.897435897435905,49.38461538461538,47.897435897435905,49.38461538461538,47.897435897435905,49.38461538461538,47.897435897435905,31.692307692307697,33.48717948717949
Parkinson Database,15_02_2022-13_55_16,-10.0,30,30.0,11.27522049334593,35.74764474641362,48.1025641025641,49.69230769230769,48.1025641025641,49.69230769230769,48.1025641025641,49.69230769230769,48.1025641025641,49.69230769230769,26.66666666666667,30.512820512820515
Parkinson Database,15_02_2022-13_55_24,-5.0,30,30.0,3.513184734794355,27.02463495665055,43.74358974358974,44.666666666666664,43.74358974358974,44.666666666666664,43.74358974358974,44.666666666666664,43.74358974358974,44.666666666666664,19.07692307692308,25.128205128205128
Parkinson Database,15_02_2022-13_55_31,0.0,30,30.0,0.6661944738449013,17.61692290563731,41.333333333333336,43.38461538461539,41.333333333333336,43.38461538461539,41.333333333333336,43.38461538461539,41.333333333333336,43.38461538461539,13.641025641025639,19.692307692307697
Parkinson Database,15_02_2022-13_55_39,5.0,30,30.0,0.014388728193241837,9.791672461640433,34.97435897435898,36.51282051282051,34.97435897435898,36.51282051282051,34.97435897435898,36.51282051282051,34.97435897435898,36.51282051282051,7.3846153846153895,14.256410256410257
Parkinson Database,15_02_2022-13_55_50,10.0,30,30.0,3.3950325614735145e-05,6.245027228269037,28.051282051282055,30.76923076923077,28.051282051282055,30.76923076923077,28.051282051282055,30.76923076923077,28.051282051282055,30.76923076923077,6.564102564102569,14.000000000000002
Parkinson Database,15_02_2022-13_56_03,15.0,30,30.0,1.7197354651443675e-13,3.4838117059349196,18.41025641025641,23.128205128205124,18.41025641025641,23.128205128205124,18.41025641025641,23.128205128205124,18.41025641025641,23.128205128205124,4.102564102564099,12.410256410256416
