Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,15_02_2022-13_30_02,-25.0,30,7.745966692414834,38.69279323699727,47.71813038528597,47.08771929824561,46.578947368421055,47.08771929824561,46.578947368421055,47.08771929824561,46.578947368421055,47.08771929824561,46.578947368421055,44.85964912280702,44.56140350877193
Wisconsin Breast Cancer Database,15_02_2022-13_30_16,-20.0,30,7.745966692414834,30.519108659413018,45.8592753477815,47.42105263157895,48.05263157894737,47.42105263157895,48.05263157894737,47.42105263157895,48.05263157894737,47.42105263157895,48.05263157894737,43.99999999999999,44.49122807017544
Wisconsin Breast Cancer Database,15_02_2022-13_30_31,-15.0,30,7.745966692414834,19.325359441821156,42.770448110175295,44.21052631578948,44.15789473684211,44.21052631578948,44.15789473684211,44.21052631578948,44.15789473684211,44.21052631578948,44.15789473684211,38.473684210526315,38.66666666666667
Wisconsin Breast Cancer Database,15_02_2022-13_30_48,-10.0,30,7.745966692414834,8.878400394155044,38.00739461138143,42.421052631578945,42.280701754385966,42.421052631578945,42.280701754385966,42.421052631578945,42.280701754385966,42.421052631578945,42.280701754385966,33.15789473684211,33.578947368421055
Wisconsin Breast Cancer Database,15_02_2022-13_31_05,-5.0,30,7.745966692414834,1.6559842024749396,28.920619940026704,33.92982456140351,34.05263157894737,33.92982456140351,34.05263157894737,33.92982456140351,34.05263157894737,33.92982456140351,34.05263157894737,21.31578947368421,22.03508771929824
Wisconsin Breast Cancer Database,15_02_2022-13_31_28,0.0,30,7.745966692414834,0.11818002019856869,18.52113839770921,25.526315789473685,26.28070175438596,25.526315789473685,26.28070175438596,25.526315789473685,26.28070175438596,25.526315789473685,26.28070175438596,12.912280701754387,14.263157894736844
Wisconsin Breast Cancer Database,15_02_2022-13_31_48,5.0,30,7.745966692414834,0.0013350625319763938,9.792760031389532,15.017543859649118,16.000000000000004,15.017543859649118,16.000000000000004,15.017543859649118,16.000000000000004,15.017543859649118,16.000000000000004,7.4912280701754375,8.859649122807022
Wisconsin Breast Cancer Database,15_02_2022-13_32_14,10.0,30,7.745966692414834,3.3643403784114683e-09,4.466614309293592,7.105263157894736,8.59649122807018,7.105263157894736,8.59649122807018,7.105263157894736,8.59649122807018,7.105263157894736,8.59649122807018,3.8070175438596476,5.929824561403507
Wisconsin Breast Cancer Database,15_02_2022-13_32_51,15.0,30,7.745966692414834,0.0,2.3490552942746445,3.368421052631576,5.508771929824563,3.368421052631576,5.508771929824563,3.368421052631576,5.508771929824563,3.368421052631576,5.508771929824563,2.298245614035088,4.649122807017547
