Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Parkinson Database,03_01_2022-16_12_19,-5.0,30,30,3.7191946110645913,26.350248587259316,45.43589743589743,46.05128205128205,38.76923076923077,40.0,19.179487179487175,23.89743589743589,13.33333333333333,20.102564102564102
Parkinson Database,03_01_2022-16_13_21,0.0,30,30,0.6519409582589073,16.690174320322214,41.74358974358975,42.051282051282044,33.02564102564103,35.58974358974359,14.15384615384615,18.358974358974358,12.615384615384617,17.641025641025642
Parkinson Database,03_01_2022-16_14_36,5.0,30,30,0.015702298086626806,11.258919276222032,33.53846153846154,37.02564102564102,24.923076923076927,30.051282051282048,10.666666666666668,18.666666666666664,9.948717948717945,16.717948717948715
Parkinson Database,03_01_2022-16_16_27,10.0,30,30,1.3290419676638729e-05,6.377152210723682,27.179487179487182,28.61538461538462,21.435897435897434,24.717948717948723,7.4871794871794854,14.46153846153846,8.923076923076923,15.487179487179493
Parkinson Database,03_01_2022-16_18_42,15.0,30,30,1.400019701309364e-14,2.9570892903544403,16.92307692307692,21.23076923076923,14.15384615384615,19.28205128205128,3.897435897435897,13.538461538461544,5.0256410256410255,14.256410256410257
Parkinson Database,03_01_2022-16_21_04,20.0,30,30,0.0,1.804390423018153,10.87179487179487,16.717948717948715,9.435897435897434,14.871794871794874,1.8461538461538418,9.53846153846154,7.8974358974359005,14.358974358974363
