Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,19_02_2022-02_08_36,-30.0,60,0.6,42.916331416680954,49.881043362591384,47.25438596491228,47.16666666666667,45.833333333333336,45.85087719298245,50.578947368421055,50.40350877192983,50.13157894736842,49.973684210526315,41.1578947368421,41.315789473684205
Wisconsin Breast Cancer Database,19_02_2022-02_11_05,-25.0,60,0.6,37.65849983686694,49.78943517957197,45.175438596491226,45.54385964912281,41.824561403508774,42.17543859649123,50.973684210526315,51.06140350877193,50.631578947368425,50.70175438596492,36.578947368421055,37.40350877192983
Wisconsin Breast Cancer Database,19_02_2022-02_14_25,-20.0,60,0.6,29.16439758285567,49.62685048100226,41.94736842105263,41.719298245614034,35.333333333333336,35.70175438596491,50.39473684210527,50.254385964912274,49.6578947368421,49.41228070175438,30.649122807017548,31.31578947368421
Wisconsin Breast Cancer Database,19_02_2022-02_17_45,-15.0,60,0.6,17.519583129967067,49.334343715449414,33.60526315789474,33.684210526315795,25.815789473684212,26.56140350877193,49.473684210526315,49.51754385964912,49.640350877192986,49.66666666666667,23.3859649122807,24.640350877192986
Wisconsin Breast Cancer Database,19_02_2022-02_21_20,-10.0,60,0.6,6.6403673324346535,48.8147160914734,24.017543859649127,24.526315789473685,16.000000000000004,17.315789473684205,50.28947368421053,50.28947368421053,50.026315789473685,49.8859649122807,17.114035087719305,18.447368421052634
Wisconsin Breast Cancer Database,19_02_2022-02_24_55,-5.0,60,0.6,1.1553370404917724,47.90597387563428,13.736842105263158,14.692982456140346,8.403508771929824,9.798245614035084,48.74561403508771,48.66666666666667,48.59649122807017,48.44736842105263,11.192982456140355,12.692982456140356
Wisconsin Breast Cancer Database,19_02_2022-02_28_49,0.0,60,0.6,0.035824304314415883,46.28592178055617,6.30701754385965,7.499999999999996,4.771929824561405,6.245614035087721,48.80701754385966,48.68421052631579,48.41228070175438,48.21929824561404,6.903508771929823,8.271929824561408
Wisconsin Breast Cancer Database,19_02_2022-02_32_57,5.0,60,0.6,0.00010803401539010005,43.40150676228205,3.096491228070175,4.929824561403507,2.7982456140350886,4.666666666666663,48.29824561403508,48.30701754385965,48.01754385964912,48.061403508771924,4.5000000000000036,6.491228070175437
Wisconsin Breast Cancer Database,19_02_2022-02_37_07,10.0,60,0.6,2.3362945837194593e-10,38.430808782280714,1.5789473684210575,4.078947368421049,1.6403508771929864,4.1052631578947345,47.90350877192983,48.0,47.833333333333336,47.94736842105263,3.508771929824561,5.728070175438593
