Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Wisconsin Breast Cancer Database,16_02_2022-15_26_17,-40.0,60,3600,47.04741013562839,49.950728653779784,48.24561403508771,51.75438596491229,48.24561403508771,51.75438596491229,48.24561403508771,51.75438596491229,48.24561403508771,51.75438596491229,48.24561403508771,51.75438596491229
Wisconsin Breast Cancer Database,16_02_2022-15_26_18,-25.0,60,3600,33.89208855416687,49.72049285410359,50.0,47.36842105263158,50.0,47.36842105263158,50.0,47.36842105263158,50.0,47.36842105263158,50.0,47.36842105263158
Wisconsin Breast Cancer Database,16_02_2022-15_26_18,-10.0,60,3600,5.41034952144634,48.4655600600427,53.50877192982456,54.385964912280706,53.50877192982456,54.385964912280706,53.50877192982456,54.385964912280706,53.50877192982456,54.385964912280706,53.50877192982456,54.385964912280706
Wisconsin Breast Cancer Database,16_02_2022-15_26_19,5.0,60,3600,2.1229795441106546e-07,42.06127804644103,50.0,52.63157894736843,50.0,52.63157894736843,50.0,52.63157894736843,50.0,52.63157894736843,50.0,52.63157894736843
