Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)"
Parkinson Database,04_01_2022-12_26_33,-25.0,30,5.477225575051661,39.17496731907504,48.77369806422114,49.17948717948718,49.282051282051285,47.53846153846154,46.51282051282051,47.53846153846154,46.51282051282051,42.25641025641026,42.15384615384615
Parkinson Database,04_01_2022-13_38_04,-20.0,30,5.477225575051661,31.64190102915752,47.86968161693256,48.76923076923077,49.641025641025635,46.41025641025641,46.666666666666664,46.41025641025641,46.666666666666664,37.743589743589745,39.12820512820513
Parkinson Database,04_01_2022-13_47_43,-15.0,30,5.477225575051661,22.063824178823396,46.438451104536014,43.84615384615385,45.282051282051285,41.84615384615385,42.051282051282044,41.84615384615385,42.051282051282044,32.30769230769231,33.333333333333336
Parkinson Database,04_01_2022-13_58_21,-10.0,30,5.477225575051661,11.103478158281838,43.36302780203876,42.25641025641026,42.56410256410257,37.128205128205124,38.256410256410255,37.128205128205124,38.256410256410255,28.512820512820515,31.999999999999996
Parkinson Database,04_01_2022-14_15_17,-5.0,30,5.477225575051661,3.773866974557629,39.38278703711259,37.846153846153854,39.48717948717949,29.743589743589748,33.43589743589743,29.743589743589748,33.43589743589743,22.256410256410252,27.076923076923077
Parkinson Database,04_01_2022-14_37_21,0.0,30,5.477225575051661,0.46302521108736605,30.89404366038928,30.76923076923077,32.30769230769231,22.307692307692307,25.897435897435894,22.307692307692307,25.897435897435894,15.28205128205128,19.8974358974359
Parkinson Database,04_01_2022-15_24_15,5.0,30,5.477225575051661,0.017065613203630446,22.20004696694952,23.076923076923073,26.0,18.000000000000004,21.435897435897434,18.000000000000004,21.435897435897434,14.000000000000002,18.87179487179487
