Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, gd_es_min)","Error probability (alpha, gd_es_min)","Mismatch probability (alpha, gd_vanilla)","Error probability (alpha, gd_vanilla)",Mismatch probability (alpha_beta),Error probability (alpha_beta)
Wisconsin Breast Cancer Database,03_01_2022-17_43_25,-5.0,30,30,1.7566767184663268,16.49785927074591,41.89473684210526,41.89473684210526,37.68421052631579,37.89473684210526,11.649122807017543,12.7719298245614,6.912280701754381,8.736842105263154
Wisconsin Breast Cancer Database,03_01_2022-17_45_18,0.0,30,30,0.1678362360460897,8.626104099730595,35.08771929824561,35.29824561403508,28.84210526315789,29.47368421052632,6.315789473684208,7.789473684210524,4.350877192982461,6.105263157894736
Wisconsin Breast Cancer Database,03_01_2022-17_47_49,5.0,30,30,0.0005474858817363941,3.640002548454893,27.684210526315788,28.000000000000004,21.228070175438596,22.3859649122807,3.7894736842105314,5.719298245614035,3.4736842105263177,5.403508771929822
Wisconsin Breast Cancer Database,03_01_2022-17_51_07,10.0,30,30,5.534721491254678e-08,1.8974714382557007,16.175438596491233,17.543859649122805,11.157894736842099,12.736842105263158,2.140350877192987,4.6315789473684195,2.280701754385961,4.561403508771933
Wisconsin Breast Cancer Database,03_01_2022-17_55_34,15.0,30,30,0.0,1.1500293925403031,8.350877192982454,9.789473684210526,5.964912280701751,7.754385964912281,1.2631578947368438,4.385964912280704,1.3333333333333308,4.315789473684206
Wisconsin Breast Cancer Database,03_01_2022-18_00_15,20.0,30,30,0.0,0.5359738972915948,3.614035087719303,5.5438596491228065,3.368421052631576,5.228070175438592,0.45614035087718774,3.9298245614035054,1.684210526315788,5.087719298245618
