Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Parkinson Database,18_02_2022-11_28_05,-30.0,30,15.0,28.605022205829588,49.21138559435043,49.17948717948718,49.30769230769231,47.15384615384616,47.43589743589743,48.97435897435898,49.205128205128204,45.769230769230774,46.30769230769231,44.666666666666664,45.15384615384615
Parkinson Database,18_02_2022-11_28_55,-25.0,30,15.0,17.8090060325792,48.60626578082317,46.53846153846154,46.94871794871794,43.64102564102564,45.53846153846154,46.1025641025641,47.53846153846154,41.256410256410255,42.53846153846153,40.56410256410257,43.333333333333336
Parkinson Database,18_02_2022-11_30_04,-20.0,30,15.0,8.137260383711912,47.4967220019157,45.61538461538461,45.82051282051282,39.10256410256411,39.97435897435897,43.794871794871796,43.948717948717956,40.17948717948718,40.12820512820513,32.820512820512825,34.92307692307692
Parkinson Database,18_02_2022-11_31_18,-15.0,30,15.0,2.214218077118726,45.560234803265324,40.871794871794876,41.666666666666664,32.99999999999999,34.87179487179487,40.61538461538462,41.666666666666664,38.38461538461539,39.84615384615384,27.1025641025641,30.051282051282048
Parkinson Database,18_02_2022-11_32_37,-10.0,30,15.0,0.2108357641765016,42.06306543315766,33.94871794871794,35.76923076923077,24.51282051282051,28.12820512820513,33.46153846153847,35.02564102564103,31.58974358974359,32.53846153846154,20.641025641025646,25.743589743589745
Parkinson Database,18_02_2022-11_33_56,-5.0,30,15.0,0.0011256130510253388,36.26681160011847,27.846153846153843,30.820512820512825,20.205128205128208,24.615384615384617,30.487179487179482,33.15384615384615,26.410256410256405,28.717948717948715,15.435897435897438,21.07692307692308
Parkinson Database,18_02_2022-11_35_15,0.0,30,15.0,4.9636333594620205e-08,27.37270676914352,16.820512820512825,21.17948717948718,12.948717948717947,18.538461538461537,21.410256410256412,25.15384615384615,17.358974358974354,21.102564102564102,11.717948717948723,17.41025641025641
Parkinson Database,18_02_2022-11_36_32,5.0,30,15.0,1.423362852083534e-18,16.627050769754526,10.076923076923073,15.589743589743588,8.897435897435901,14.974358974358971,16.846153846153843,20.71794871794872,14.30769230769231,17.666666666666664,7.9743589743589745,14.205128205128204
Parkinson Database,18_02_2022-11_37_53,10.0,30,15.0,0.0,7.1536226754239225,5.9487179487179525,14.076923076923077,5.974358974358973,14.256410256410257,10.564102564102562,17.000000000000004,6.487179487179484,14.564102564102566,5.358974358974356,14.102564102564108
