Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,16_03_2022-17_53_29,-30.0,30,30,21.394811408396126,48.8476435462884,48.53666666666666,49.03666666666666,47.260000000000005,47.94666666666667,47.260000000000005,47.94666666666667,48.53666666666666,49.03666666666666,44.153333333333336,45.63333333333334
Heart Diseases Database,16_03_2022-17_55_45,-29.0,30,30,19.355083733453647,48.71425732223807,48.69,48.72666666666666,47.04666666666667,47.309999999999995,47.04666666666667,47.309999999999995,48.69,48.72666666666666,43.510000000000005,44.77333333333333
Heart Diseases Database,16_03_2022-17_58_03,-28.0,30,30,16.886098093149567,48.559381711844075,48.18,48.803333333333335,47.13333333333334,47.92999999999999,47.13333333333334,47.92999999999999,48.18,48.803333333333335,43.19666666666667,44.873333333333335
Heart Diseases Database,16_03_2022-18_00_22,-27.0,30,30,14.147385205382667,48.378089097913026,48.10666666666666,48.553333333333335,46.39666666666666,46.923333333333325,46.39666666666666,46.923333333333325,48.10666666666666,48.553333333333335,42.053333333333335,43.68
Heart Diseases Database,16_03_2022-18_02_42,-26.0,30,30,11.273138424409845,48.160236745781546,47.89333333333333,48.07,45.99333333333333,46.709999999999994,45.99333333333333,46.709999999999994,47.89333333333333,48.07,41.2,42.95
Heart Diseases Database,16_03_2022-18_05_01,-25.0,30,30,9.247521072517637,47.95234215630508,47.64333333333334,48.21333333333333,45.96,46.89666666666666,45.96,46.89666666666666,47.64333333333334,48.21333333333333,40.18000000000001,42.843333333333334
Heart Diseases Database,16_03_2022-18_07_24,-24.0,30,30,7.371220953863878,47.70197865370896,47.0,47.663333333333334,44.766666666666666,46.18333333333333,44.766666666666666,46.18333333333333,47.0,47.663333333333334,38.44333333333333,41.559999999999995
Heart Diseases Database,16_03_2022-18_09_50,-23.0,30,30,5.500087086389662,47.41705312483564,46.78333333333333,47.660000000000004,44.489999999999995,45.74666666666667,44.489999999999995,45.74666666666667,46.78333333333333,47.660000000000004,37.743333333333325,40.739999999999995
Heart Diseases Database,16_03_2022-18_12_17,-22.0,30,30,4.179627200849339,47.098617355525825,46.23666666666667,47.35666666666667,43.52,45.32000000000001,43.52,45.32000000000001,46.23666666666667,47.35666666666667,36.809999999999995,40.10333333333334
Heart Diseases Database,16_03_2022-18_14_48,-21.0,30,30,2.6943689247051363,46.72390722269697,46.45,47.486666666666665,43.26,44.86333333333333,43.26,44.86333333333333,46.45,47.486666666666665,35.209999999999994,38.22
Heart Diseases Database,16_03_2022-18_17_35,-20.0,30,30,1.9009778006998972,46.35714322138399,45.36666666666667,46.223333333333336,41.766666666666666,43.663333333333334,41.766666666666666,43.663333333333334,45.36666666666667,46.223333333333336,33.43666666666667,36.79333333333334
Heart Diseases Database,16_03_2022-18_20_14,-19.0,30,30,1.2039034908815267,45.90086161577366,44.876666666666665,46.120000000000005,41.773333333333326,43.25,41.773333333333326,43.25,44.876666666666665,46.120000000000005,32.34,35.99666666666666
Heart Diseases Database,16_03_2022-18_22_59,-18.0,30,30,0.8939526506963841,45.46753120286745,44.63333333333333,46.14,40.85333333333333,42.56666666666666,40.85333333333333,42.56666666666666,44.63333333333333,46.14,31.240000000000002,34.78
Heart Diseases Database,16_03_2022-18_25_50,-17.0,30,30,0.5193763814523686,44.89407874937148,44.07,45.87,39.019999999999996,41.16,39.019999999999996,41.16,44.07,45.87,28.95,33.36333333333334
Heart Diseases Database,16_03_2022-18_28_41,-16.0,30,30,0.33595390063401304,44.30129097711089,42.98,44.63666666666667,37.89333333333333,40.476666666666674,37.89333333333333,40.476666666666674,42.98,44.63666666666667,27.28333333333334,32.11333333333334
Heart Diseases Database,16_03_2022-18_31_32,-15.0,30,30,0.12632785539185834,43.59415435679714,42.97666666666666,44.68666666666666,37.42333333333333,40.25333333333333,37.42333333333333,40.25333333333333,42.97666666666666,44.68666666666666,26.14666666666666,31.10333333333334
Heart Diseases Database,16_03_2022-18_34_23,-14.0,30,30,0.05966825190870103,42.86904278598422,41.48666666666667,43.87333333333333,35.60666666666666,38.56,35.60666666666666,38.56,41.48666666666667,43.87333333333333,24.619999999999997,29.600000000000005
Heart Diseases Database,16_03_2022-18_37_14,-13.0,30,30,0.034786365928451406,41.885848021175036,40.37,42.69,33.653333333333336,36.76666666666667,33.653333333333336,36.76666666666667,40.37,42.69,22.87666666666667,27.636666666666663
Heart Diseases Database,16_03_2022-18_40_05,-12.0,30,30,0.014736645127112407,41.03272758882575,39.63666666666666,42.14666666666667,32.11000000000001,35.64666666666667,32.11000000000001,35.64666666666667,39.63666666666666,42.14666666666667,21.30666666666666,26.69666666666667
Heart Diseases Database,16_03_2022-18_43_06,-11.0,30,30,0.00544397935556531,40.08471648362911,38.79333333333334,41.81333333333333,31.063333333333333,34.90333333333333,31.063333333333333,34.90333333333333,38.79333333333334,41.81333333333333,20.453333333333333,26.106666666666666
Heart Diseases Database,16_03_2022-18_46_06,-10.0,30,30,0.0010814154248576261,38.865078566230125,37.050000000000004,40.016666666666666,28.903333333333336,32.943333333333335,28.903333333333336,32.943333333333335,37.050000000000004,40.016666666666666,19.08333333333333,24.529999999999998
Heart Diseases Database,16_03_2022-18_49_06,-9.0,30,30,0.0009124429809658046,37.587003352717744,35.83,39.129999999999995,27.36666666666666,31.840000000000003,27.36666666666666,31.840000000000003,35.83,39.129999999999995,17.989999999999995,23.696666666666665
Heart Diseases Database,16_03_2022-18_52_09,-8.0,30,30,9.859093012095292e-05,36.32487262612207,34.34,38.88666666666667,25.986666666666668,30.946666666666665,25.986666666666668,30.946666666666665,34.34,38.88666666666667,17.07333333333333,22.993333333333332
Heart Diseases Database,16_03_2022-18_55_06,-7.0,30,30,2.4412850815831263e-05,34.83136961615704,33.10333333333333,37.67666666666667,24.233333333333327,29.000000000000004,24.233333333333327,29.000000000000004,33.10333333333333,37.67666666666667,16.05333333333333,21.91333333333333
Heart Diseases Database,16_03_2022-18_58_13,-6.0,30,30,1.9929492338384889e-07,32.92429738127444,31.12666666666667,35.650000000000006,22.176666666666666,27.55333333333333,22.176666666666666,27.55333333333333,31.12666666666667,35.650000000000006,14.839999999999998,21.209999999999994
Heart Diseases Database,16_03_2022-19_01_15,-5.0,30,30,6.602473686105155e-07,31.321264633003686,29.67333333333333,34.73666666666667,20.79,26.52,20.79,26.52,29.67333333333333,34.73666666666667,14.600000000000001,20.730000000000004
Heart Diseases Database,16_03_2022-19_04_12,-4.000000000000001,30,30,7.2570806519678405e-09,29.295697455435892,27.86666666666666,33.4,19.053333333333335,25.206666666666667,19.053333333333335,25.206666666666667,27.86666666666666,33.4,13.506666666666668,20.033333333333335
Heart Diseases Database,16_03_2022-19_07_11,-3.0000000000000004,30,30,4.6093455885465313e-10,26.90866192386432,25.860000000000007,31.87333333333333,17.490000000000006,24.15666666666667,17.490000000000006,24.15666666666667,25.860000000000007,31.87333333333333,12.713333333333331,19.51333333333334
Heart Diseases Database,16_03_2022-19_10_15,-2.0,30,30,4.135636277879939e-13,25.070359931434265,24.139999999999993,30.989999999999995,16.359999999999996,23.750000000000004,16.359999999999996,23.750000000000004,24.139999999999993,30.989999999999995,12.286666666666669,19.61666666666667
Heart Diseases Database,16_03_2022-19_13_20,-1.0,30,30,1.8089233814559217e-15,22.628721192895654,22.296666666666663,29.823333333333334,15.059999999999995,22.39333333333333,15.059999999999995,22.39333333333333,22.296666666666663,29.823333333333334,11.383333333333335,18.976666666666663
Heart Diseases Database,16_03_2022-19_16_40,0.0,30,30,9.864331573794516e-16,20.171760126980907,20.820000000000004,28.543333333333333,14.103333333333335,21.740000000000002,14.103333333333335,21.740000000000002,20.820000000000004,28.543333333333333,11.263333333333335,19.033333333333335
Heart Diseases Database,16_03_2022-19_20_02,1.0000000000000002,30,30,0.0,17.88448584841339,18.336666666666666,27.14333333333333,12.980000000000002,20.72666666666667,12.980000000000002,20.72666666666667,18.336666666666666,27.14333333333333,10.69,18.53666666666667
Heart Diseases Database,16_03_2022-19_23_29,2.0000000000000004,30,30,0.0,15.02053921141703,16.92666666666667,25.793333333333337,11.93333333333333,20.333333333333336,11.93333333333333,20.333333333333336,16.92666666666667,25.793333333333337,10.08,18.700000000000006
Heart Diseases Database,16_03_2022-19_27_10,3.0,30,30,0.0,12.760855798788,15.133333333333333,24.9,11.660000000000004,20.273333333333333,11.660000000000004,20.273333333333333,15.133333333333333,24.9,10.056666666666668,18.83666666666667
Heart Diseases Database,16_03_2022-19_30_59,4.0,30,30,0.0,10.429204641294408,13.880000000000003,24.060000000000002,10.62333333333333,19.48333333333333,10.62333333333333,19.48333333333333,13.880000000000003,24.060000000000002,9.719999999999995,18.746666666666666
Heart Diseases Database,16_03_2022-19_34_52,5.0,30,30,0.0,8.195188975337011,12.503333333333334,23.646666666666672,10.25666666666667,19.759999999999998,10.25666666666667,19.759999999999998,12.503333333333334,23.646666666666672,9.786666666666665,19.25
Heart Diseases Database,16_03_2022-19_38_59,6.0,30,30,0.0,6.749278873583191,11.429999999999996,22.863333333333337,9.589999999999998,19.496666666666663,9.589999999999998,19.496666666666663,11.429999999999996,22.863333333333337,9.140000000000004,18.87333333333333
Heart Diseases Database,16_03_2022-19_43_15,7.0,30,30,0.0,4.739628482327013,9.61333333333333,22.199999999999996,8.68,19.540000000000003,8.68,19.540000000000003,9.61333333333333,22.199999999999996,8.620000000000005,18.966666666666665
Heart Diseases Database,16_03_2022-19_47_39,8.0,30,30,0.0,3.69365405370978,8.833333333333337,21.220000000000006,8.399999999999997,18.799999999999994,8.399999999999997,18.799999999999994,8.833333333333337,21.220000000000006,8.389999999999997,18.55
