Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),"Mismatch probability (alpha, unit beta)","Error probability (alpha, unit beta)","Mismatch probability (alpha, uniform beta)","Error probability (alpha, uniform beta)","Mismatch probability (alpha, beta)","Error probability (alpha, beta)","Mismatch probability (joint: alpha, beta)","Error probability (joint: alpha, beta)"
Heart Diseases Database,16_03_2022-01_21_10,-30.0,30,0.3,46.5496779477415,49.884605278490504,48.553333333333335,48.83,47.25666666666667,48.0,49.52333333333333,49.94666666666666,48.553333333333335,48.83,49.49,49.63999999999999
Heart Diseases Database,16_03_2022-01_22_32,-29.0,30,0.3,46.11978686868694,49.870087349082425,48.29,48.61,46.873333333333335,47.81333333333333,49.64666666666666,49.980000000000004,48.29,48.61,49.023333333333326,49.596666666666664
Heart Diseases Database,16_03_2022-01_23_58,-28.0,30,0.3,45.69448418043048,49.855691782432174,49.06666666666667,49.21333333333333,47.24666666666667,47.91333333333333,50.32,50.29333333333334,49.06666666666667,49.21333333333333,49.49333333333333,49.913333333333334
Heart Diseases Database,16_03_2022-01_25_29,-27.0,30,0.3,45.14717459480791,49.83710802555394,47.54666666666667,48.46666666666667,45.989999999999995,47.05666666666667,49.339999999999996,49.739999999999995,47.54666666666667,48.46666666666667,48.72666666666666,49.36000000000001
Heart Diseases Database,16_03_2022-01_26_51,-26.0,30,0.3,44.576852960557765,49.817530995087175,47.85,48.586666666666666,45.58,46.85,49.35333333333334,49.69,47.85,48.586666666666666,48.906666666666666,49.31666666666666
Heart Diseases Database,16_03_2022-01_28_17,-25.0,30,0.3,43.88376090127728,49.79390803265667,47.73333333333334,48.71333333333333,45.52333333333334,46.52333333333334,49.61,49.61,47.73333333333334,48.71333333333333,49.053333333333335,49.5
Heart Diseases Database,16_03_2022-01_29_48,-24.0,30,0.3,43.11379280505997,49.76757352188332,47.099999999999994,47.33666666666667,45.15,45.63333333333334,49.696666666666665,49.10666666666666,47.099999999999994,47.33666666666667,49.06,48.78333333333333
Heart Diseases Database,16_03_2022-01_31_25,-23.0,30,0.3,42.36139882568223,49.741261653498455,47.01,47.75,44.48,45.68,49.61333333333333,49.653333333333336,47.01,47.75,48.766666666666666,49.019999999999996
Heart Diseases Database,16_03_2022-01_33_00,-22.0,30,0.3,41.45071462228945,49.70899047247566,45.86,47.06666666666667,43.27333333333333,44.586666666666666,48.89666666666667,48.95,45.86,47.06666666666667,48.086666666666666,48.58
Heart Diseases Database,16_03_2022-01_34_37,-21.0,30,0.3,40.47509718766998,49.67464974268411,46.696666666666665,47.596666666666664,43.27333333333333,44.39333333333333,49.64333333333333,49.54333333333333,46.696666666666665,47.596666666666664,48.6,48.75333333333334
Heart Diseases Database,16_03_2022-01_36_19,-20.0,30,0.3,39.448940615493015,49.637146052347696,45.67333333333333,46.733333333333334,42.276666666666664,43.836666666666666,49.243333333333325,49.243333333333325,45.67333333333333,46.733333333333334,48.193333333333335,48.593333333333334
Heart Diseases Database,16_03_2022-01_38_04,-19.0,30,0.3,38.126859743602346,49.588989131026636,45.376666666666665,46.519999999999996,41.55,43.56,49.42333333333333,49.57333333333334,45.376666666666665,46.519999999999996,47.983333333333334,48.919999999999995
Heart Diseases Database,16_03_2022-01_39_52,-18.0,30,0.3,36.94487416443322,49.543750262582584,44.82666666666667,46.11333333333333,40.50333333333334,42.516666666666666,48.60666666666666,48.96,44.82666666666667,46.11333333333333,47.17,47.97
Heart Diseases Database,16_03_2022-01_41_44,-17.0,30,0.3,35.397040273975826,49.48571675081527,43.88333333333333,44.989999999999995,39.50333333333334,41.56999999999999,49.03666666666666,49.023333333333326,43.88333333333333,44.989999999999995,47.24666666666667,48.03333333333333
Heart Diseases Database,16_03_2022-01_43_34,-16.0,30,0.3,33.9000474360643,49.42424331968762,43.36,44.54,38.23333333333333,40.37333333333334,49.03999999999999,48.906666666666666,43.36,44.54,46.95333333333333,47.693333333333335
Heart Diseases Database,16_03_2022-01_45_26,-15.0,30,0.3,32.08063318258264,49.35244668498047,42.74333333333333,44.373333333333335,37.09,39.64,48.65666666666667,49.086666666666666,42.74333333333333,44.373333333333335,46.67666666666667,47.66666666666667
Heart Diseases Database,16_03_2022-01_47_18,-14.0,30,0.3,30.332780170767776,49.275181122215805,41.81,43.67333333333333,35.39,38.27333333333334,48.36333333333334,48.526666666666664,41.81,43.67333333333333,46.053333333333335,47.13666666666667
Heart Diseases Database,16_03_2022-01_49_11,-13.0,30,0.3,28.223603377707697,49.18458401646546,41.1,43.230000000000004,34.199999999999996,37.53666666666666,48.34666666666667,48.85666666666667,41.1,43.230000000000004,45.983333333333334,47.28
Heart Diseases Database,16_03_2022-01_51_08,-12.0,30,0.3,26.13030795015416,49.086848240568855,39.42,41.779999999999994,32.63333333333334,35.633333333333326,48.14666666666667,48.473333333333336,39.42,41.779999999999994,45.13,46.51
Heart Diseases Database,16_03_2022-01_53_03,-11.0,30,0.3,23.656606911607827,48.9697460681318,38.10333333333333,41.39666666666667,30.833333333333336,34.62,47.806666666666665,48.49333333333333,38.10333333333333,41.39666666666667,44.79666666666666,46.11666666666666
Heart Diseases Database,16_03_2022-01_55_04,-10.0,30,0.3,21.478188374214294,48.85238536374523,37.33,40.31,29.310000000000002,33.116666666666674,47.36666666666667,47.67333333333333,37.33,40.31,43.846666666666664,45.56
