Database,Time,SNR,Number of classifiers,Power limit,Lower bound (mismatch probability),Upper bound (mismatch probability),Mismatch probability (trivial),Error probability (trivial),Mismatch probability (alpha),Error probability (alpha),Mismatch probability (alpha_beta),Error probability (alpha_beta)
Heart Diseases Database,09_11_2021-09_55_40,-25.0,30,1,46.20516410331602,49.543492119050846,47.3,48.16666666666667,45.13333333333334,46.46666666666667,47.63333333333334,47.63333333333334
Heart Diseases Database,09_11_2021-09_56_20,-20.0,30,1,39.55366775879553,49.200149261289376,43.56666666666666,46.166666666666664,42.00000000000001,45.199999999999996,44.266666666666666,47.0
